ImageName,ImageFolder,Width,Height,EyeDistance,EarDistance,EyeToNoseDistance,EyeToMouthDistance,MouthWidth,ShoulderWidth,NeckDistance,WaistDistance,ShoulderToWaistDistance,HipToKneeDistance,KneeToFootDistance,ShoulderToElbowDistance,ElbowToWristDistance
Boy_(1).jpeg,boys photos,500,625,59.17607273053865,163.90339178499298,35.621008531922534,61.33468791870509,50.83615225227614,485.10410368700707,102.89624228075499,0,0,0,0,256.6831403088972,122.59844993828835
Boy_(10).jpg,boys photos,3744,5616,691.4335302291543,1396.436092127072,577.4431772824165,932.9064971985578,489.0090349825091,3172.6907504410174,1346.9998758833663,0,0,0,0,0,0
Boy_(100).jpg,boys photos,3456,5184,117.59607366916666,246.60191222249153,151.95392159410505,147.3702018647447,93.68393936228921,673.0243515198437,329.47655392682384,432.1904379271586,1120.2308061359734,1888.6757144718968,960.0535362865609,613.9902599739557,501.56282452049913
Boy_(101).jpg,boys photos,4000,5000,282.2054892872486,1275.5437533673958,107.87360963284833,197.9148682469614,371.82339649054285,2500.20891797238,405.2608743658787,1635.2645769347512,1263.1864901741812,946.6568032451338,1128.145502363747,794.0940287787987,730.9031042608611
Boy_(102).jpg,boys photos,4000,5000,311.51072010445625,900.8401780321332,181.4323823603266,402.29690784868285,296.3279254574685,2477.4212404130544,577.0144301001895,1722.1405656015959,2049.633411770201,1767.2470109977246,1706.4350796081471,1350.8218552335545,1180.5443136698757
Boy_(103).jpg,boys photos,3744,5616,583.0513582505934,1805.4451711706247,438.7032006520414,869.0917503496437,564.0549679758263,3310.1625089253553,1179.203418352629,0,0,0,0,2051.992162744654,0
Boy_(104).jpg,boys photos,4000,6000,182.58210074651043,436.55092028644077,187.22875925743648,265.30777307672156,153.5354540598703,1092.87946309074,341.6052279532507,640.150627622726,1428.3918339354711,1132.68457718635,1596.1284933859592,1197.773114569446,1166.6608120589904
Boy_(105).jpg,boys photos,612,408,30.00711271443988,65.54034169693882,25.14511305952461,42.921975145523064,24.771618184630142,147.30961479034184,32.34520081987636,81.03720256596903,190.02140710688317,247.05661570194005,0,190.4767039819237,226.52212450539753
Boy_(106).jpg,boys photos,4000,5000,376.53337306852046,725.7816435460011,198.51223275722998,473.81457534194226,294.52209074338185,1793.3271724570795,856.1474643739564,0,0,0,0,1315.3461235375694,0
Boy_(107).jpg,boys photos,3451,3963,341.5565789732571,1185.5000748199518,221.02804977546626,438.2650035116136,372.56073907199954,2546.3751984271994,767.2299562832843,0,0,0,0,1215.2819758649366,0
Boy_(108).jpg,boys photos,3350,4188,214.435777700928,515.6739194140009,190.806734458441,384.1329088707105,164.03576460473866,1191.8856971018154,187.79670385083804,724.293764081871,3792.409836990164,3394.061016652413,2746.3530762596483,831.2820771606798,912.4241443421574
Boy_(109).jpg,boys photos,2624,3936,428.66433958509936,779.4340071271691,342.0971133775336,651.1709157216424,312.57847502272995,1690.045363488677,722.7735866679609,0,0,0,0,2720.72054892541,4782.062394659555
Boy_(11).jpg,boys photos,3097,1936,156.39366776914844,318.7628248414951,59.537971403574865,245.32662519857595,80.46161653485207,685.5608925931641,107.90440064875557,328.8343833241499,2554.6032644606566,1459.4553040088592,1690.5611190691443,551.4222894570269,588.1996743499345
Boy_(110).jpg,boys photos,2510,3766,297.65194554280885,723.1440034007393,211.80940685527608,382.638483851959,258.3422803041734,1928.5241109906085,730.3570506530758,1185.8998838873224,1945.0793714614235,0,0,1428.3204431456797,2521.442620101706
Boy_(111).jpg,boys photos,2548,3822,248.21259645850407,445.964739202578,214.41318370242143,277.0348857832271,204.00925608776174,981.9753405342873,525.5060563059558,701.3548030585716,1761.4389126119395,0,0,2367.8319569138603,2232.76706326863
